time,robot_x,robot_y,intrusion_detected,num_intruders,closest_dist,alert_level,is_alarming,alarm_event
14.900,5.985,1.500,False,0,,nominal,False,silent
14.950,6.000,1.500,False,0,,nominal,False,silent
15.000,6.015,1.500,False,0,,nominal,False,silent
15.050,6.030,1.500,False,0,,nominal,False,silent
15.100,6.045,1.500,False,0,,nominal,False,silent
15.150,6.060,1.500,False,0,,nominal,False,silent
15.200,6.075,1.500,False,0,,nominal,False,silent
15.250,6.090,1.500,False,0,,nominal,False,silent
15.300,6.105,1.500,False,0,,nominal,False,silent
15.350,6.120,1.500,False,0,,nominal,False,silent
15.400,6.135,1.500,False,0,,nominal,False,silent
15.450,6.150,1.500,False,0,,nominal,False,silent
15.500,6.165,1.500,False,0,,nominal,False,silent
15.550,6.180,1.500,False,0,,nominal,False,silent
15.600,6.195,1.500,False,0,,nominal,False,silent
15.650,6.210,1.500,False,0,,nominal,False,silent
15.700,6.225,1.500,False,0,,nominal,False,silent
15.750,6.240,1.500,False,0,,nominal,False,silent
15.800,6.255,1.500,False,0,,nominal,False,silent
15.850,6.270,1.500,False,0,,nominal,False,silent
15.900,6.285,1.500,False,0,,nominal,False,silent
15.950,6.300,1.500,False,0,,nominal,False,silent
16.000,6.315,1.500,False,0,,nominal,False,silent
16.050,6.330,1.500,False,0,,nominal,False,silent
16.100,6.345,1.500,False,0,,nominal,False,silent
16.150,6.360,1.500,False,0,,nominal,False,silent
16.200,6.375,1.500,False,0,,nominal,False,silent
16.250,6.390,1.500,False,0,,nominal,False,silent
16.300,6.405,1.500,False,0,,nominal,False,silent
16.350,6.420,1.500,False,0,,nominal,False,silent
16.400,6.435,1.500,False,0,,nominal,False,silent
16.450,6.450,1.500,False,0,,nominal,False,silent
16.500,6.465,1.500,False,0,,nominal,False,silent
16.550,6.480,1.500,False,0,,nominal,False,silent
16.600,6.495,1.500,False,0,,nominal,False,silent
16.650,6.510,1.500,False,0,,nominal,False,silent
16.700,6.525,1.500,False,0,,nominal,False,silent
16.750,6.540,1.500,False,0,,nominal,False,silent
