time,robot_x,robot_y,robot_theta,intrusion_detected,num_intruders,num_alerts,closest_dist
6.400,3.435,1.500,0.000,True,1,0,3.955
6.450,3.450,1.500,0.000,True,1,0,3.944
6.500,3.465,1.500,0.000,True,1,0,3.932
6.550,3.480,1.500,0.000,True,1,0,3.921
6.600,3.495,1.500,0.000,True,1,0,3.909
6.650,3.510,1.500,0.000,True,1,0,3.897
6.700,3.525,1.500,0.000,True,1,0,3.886
6.750,3.540,1.500,0.000,True,1,0,3.874
6.800,3.555,1.500,0.000,True,1,0,3.863
6.850,3.570,1.500,0.000,True,1,0,3.852
6.900,3.585,1.500,0.000,True,1,0,3.840
6.950,3.600,1.500,0.000,True,1,0,3.829
7.000,3.615,1.500,0.000,True,1,0,3.817
7.050,3.630,1.500,0.000,True,1,0,3.806
7.100,3.645,1.500,0.000,True,1,0,3.795
7.150,3.660,1.500,0.000,True,1,0,3.784
7.200,3.675,1.500,0.000,True,1,0,3.772
7.250,3.690,1.500,0.000,True,1,0,3.761
7.300,3.705,1.500,0.000,True,1,0,3.750
7.350,3.720,1.500,0.000,True,1,0,3.739
7.400,3.735,1.500,0.000,True,1,0,3.728
7.450,3.750,1.500,0.000,True,1,0,3.717
7.500,3.765,1.500,0.000,True,1,0,3.705
7.550,3.780,1.500,0.000,True,1,0,3.694
7.600,3.795,1.500,0.000,True,1,0,3.683
7.650,3.810,1.500,0.000,True,1,0,3.672
7.700,3.825,1.500,0.000,True,1,1,3.661
7.750,3.840,1.500,0.000,True,1,0,3.650
7.800,3.855,1.500,0.000,True,1,0,3.640
7.850,3.870,1.500,0.000,True,1,0,3.629
7.900,3.885,1.500,0.000,True,1,0,3.618
7.950,3.900,1.500,0.000,True,1,0,3.607
8.000,3.915,1.500,0.000,True,1,0,3.596
8.050,3.930,1.500,0.000,True,1,0,3.585
8.100,3.945,1.500,0.000,True,1,0,3.575
8.150,3.960,1.500,0.000,True,1,0,3.564
8.200,3.975,1.500,0.000,True,1,0,3.553
8.250,3.990,1.500,0.000,True,1,0,3.543
8.300,4.005,1.500,0.000,False,0,0,
8.350,4.020,1.500,0.000,False,0,0,
8.400,4.035,1.500,0.000,False,0,0,
8.450,4.050,1.500,0.000,False,0,0,
8.500,4.065,1.500,0.000,False,0,0,
8.550,4.080,1.500,0.000,False,0,0,
8.600,4.095,1.500,0.000,False,0,0,
8.650,4.110,1.500,0.000,False,0,0,
8.700,4.125,1.500,0.000,False,0,0,
8.750,4.140,1.500,0.000,False,0,0,
8.800,4.155,1.500,0.000,False,0,0,
8.850,4.170,1.500,0.000,False,0,0,
8.900,4.185,1.500,0.000,False,0,0,
8.950,4.200,1.500,0.000,False,0,0,
9.000,4.215,1.500,0.000,False,0,0,
9.050,4.230,1.500,0.000,False,0,0,
9.100,4.245,1.500,0.000,False,0,0,
9.150,4.260,1.500,0.000,False,0,0,
9.200,4.275,1.500,0.000,False,0,0,
9.250,4.290,1.500,0.000,False,0,0,
9.300,4.305,1.500,0.000,False,0,0,
9.350,4.320,1.500,0.000,False,0,0,
9.400,4.335,1.500,0.000,False,0,0,
9.450,4.350,1.500,0.000,False,0,0,
9.500,4.365,1.500,0.000,False,0,0,
9.550,4.380,1.500,0.000,False,0,0,
9.600,4.395,1.500,0.000,False,0,0,
9.650,4.410,1.500,0.000,False,0,0,
9.700,4.425,1.500,0.000,False,0,0,
9.750,4.440,1.500,0.000,False,0,0,
9.800,4.455,1.500,0.000,False,0,0,
9.850,4.470,1.500,0.000,False,0,0,
9.900,4.485,1.500,0.000,False,0,0,
9.950,4.500,1.500,0.000,False,0,0,
10.000,4.515,1.500,0.000,False,0,0,
10.050,4.530,1.500,0.000,False,0,0,
10.100,4.545,1.500,0.000,False,0,0,
10.150,4.560,1.500,0.000,False,0,0,
10.200,4.575,1.500,0.000,False,0,0,
10.250,4.590,1.500,0.000,False,0,0,
10.300,4.605,1.500,0.000,False,0,0,
10.350,4.620,1.500,0.000,False,0,0,
10.400,4.635,1.500,0.000,False,0,0,
10.450,4.650,1.500,0.000,False,0,0,
10.500,4.665,1.500,0.000,False,0,0,
10.550,4.680,1.500,0.000,False,0,0,
10.600,4.695,1.500,0.000,False,0,0,
10.650,4.710,1.500,0.000,False,0,0,
10.700,4.725,1.500,0.000,False,0,0,
10.750,4.740,1.500,0.000,False,0,0,
10.800,4.755,1.500,0.000,False,0,0,
10.850,4.770,1.500,0.000,False,0,0,
10.900,4.785,1.500,0.000,False,0,0,
10.950,4.800,1.500,0.000,False,0,0,
11.000,4.815,1.500,0.000,False,0,0,
11.050,4.830,1.500,0.000,False,0,0,
11.100,4.845,1.500,0.000,False,0,0,
11.150,4.860,1.500,0.000,False,0,0,
11.200,4.875,1.500,0.000,False,0,0,
11.250,4.890,1.500,0.000,False,0,0,
11.300,4.905,1.500,0.000,False,0,0,
11.350,4.920,1.500,0.000,False,0,0,
11.400,4.935,1.500,0.000,False,0,0,
11.450,4.950,1.500,0.000,False,0,0,
11.500,4.965,1.500,0.000,False,0,0,
11.550,4.980,1.500,0.000,False,0,0,
11.600,4.995,1.500,0.000,False,0,0,
11.650,5.010,1.500,0.000,False,0,0,
11.700,5.025,1.500,0.000,False,0,0,
11.750,5.040,1.500,0.000,False,0,0,
11.800,5.055,1.500,0.000,False,0,0,
11.850,5.070,1.500,0.000,False,0,0,
11.900,5.085,1.500,0.000,False,0,0,
11.950,5.100,1.500,0.000,False,0,0,
12.000,5.115,1.500,0.000,False,0,0,
12.050,5.130,1.500,0.000,False,0,0,
12.100,5.145,1.500,0.000,False,0,0,
12.150,5.160,1.500,0.000,False,0,0,
12.200,5.175,1.500,0.000,False,0,0,
12.250,5.190,1.500,0.000,False,0,0,
12.300,5.205,1.500,0.000,False,0,0,
12.350,5.220,1.500,0.000,False,0,0,
12.400,5.235,1.500,0.000,False,0,0,
12.450,5.250,1.500,0.000,False,0,0,
12.500,5.265,1.500,0.000,False,0,0,
